INSERT INTO `peminjaman` (`id`, `kode_pinjam`, `peminjam_id`, `kd_barang`, `nama_peminjam`, `petugas_pinjam`, `petugas_kembali`, `status`, `denda`, `tanggal_pinjam`, `tanggal_kembali`, `tanggal_pengembalian`, `created_at`, `updated_at`) VALUES
(523, '408064702', 526, '1821e61a-006b-4fdc-8964-8b1709510a78', 'Ellis Wulandari M.Ak', 2, 2, 3, 0, '2020-06-07', '2020-06-21', '2020-06-20', '2023-05-29 02:11:00', '2023-05-29 02:11:00'),
(524, '306218623', 527, 'c8b18828-f988-44af-ab68-d0e57167a9ba', 'Empluk Januar S.Gz', 2, 2, 3, 0, '2021-08-17', '2021-08-31', '2021-08-30', '2023-05-29 02:11:00', '2023-05-29 02:11:00'),
(525, '668578907', 528, '28d45a3b-9e38-494a-962d-2bbea2af1297', 'Agus Situmorang', 2, 1, 3, 0, '2021-10-17', '2021-10-31', '2021-10-30', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(526, '187044812', 529, '96cf5493-1da2-4b9e-aff3-ca986f875915', 'Laras Palastri', 1, 2, 3, 0, '2021-04-25', '2021-05-09', '2021-05-08', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(527, '276675512', 530, 'ec789173-bbba-46af-b7b1-6cf5a261415e', 'Karma Hidayanto', 2, 1, 3, 0, '2021-03-09', '2021-03-23', '2021-03-22', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(528, '292952878', 531, '07ebc51d-a98d-4c91-9bc3-ac7250a6e411', 'Ratih Pratiwi M.Farm', 1, 1, 3, 0, '2021-07-03', '2021-07-17', '2021-07-16', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(529, '640913155', 532, '9e599f73-2a38-4c56-a63e-c059cc8ec331', 'Chelsea Agustina S.Sos', 1, 1, 3, 0, '2020-10-14', '2020-10-28', '2020-10-27', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(530, '757265878', 533, 'd5fa0ee9-3167-4870-8eeb-09bc6066c095', 'Tari Palastri', 1, 1, 3, 0, '2023-03-26', '2023-04-09', '2023-04-08', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(531, '692008835', 534, 'e9b66cf6-40e2-4ae2-8b1a-00e0492f1cce', 'Jinawi Gunawan', 1, 2, 3, 0, '2021-07-15', '2021-07-29', '2021-07-28', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(532, '287712141', 535, '7805f10d-7f99-44d4-864c-82dc271b9152', 'Muni Habibi', 2, 2, 3, 0, '2021-09-28', '2021-10-12', '2021-10-11', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(533, '453759164', 536, 'a63463a2-6a1c-47f9-8255-f0e8a378b500', 'Intan Salsabila Lailasari', 1, 1, 3, 0, '2022-04-09', '2022-04-23', '2022-04-22', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(534, '347899542', 537, '1a8ca4ec-5471-4fe2-8a78-3b2fcd9fb079', 'Joko Mitra Januar', 2, 2, 3, 0, '2021-09-17', '2021-10-01', '2021-09-30', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(535, '917472365', 538, 'b843e28d-8591-4755-8433-7a33e96a1dcf', 'Prakosa Halim', 1, 2, 3, 0, '2020-11-24', '2020-12-08', '2020-12-07', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(536, '832018303', 539, '23e62452-5368-4d68-b564-dffc80e4a145', 'Siti Nasyiah', 1, 1, 3, 0, '2021-03-23', '2021-04-06', '2021-04-05', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(537, '470790238', 540, '1d2d46f1-637a-4114-a75b-8ff52c178c1e', 'Galar Adriansyah', 2, 2, 3, 0, '2021-04-12', '2021-04-26', '2021-04-25', '2023-05-29 02:11:01', '2023-05-29 02:11:01');
INSERT INTO `peminjaman` (`id`, `kode_pinjam`, `peminjam_id`, `kd_barang`, `nama_peminjam`, `petugas_pinjam`, `petugas_kembali`, `status`, `denda`, `tanggal_pinjam`, `tanggal_kembali`, `tanggal_pengembalian`, `created_at`, `updated_at`) VALUES
(538, '863928517', 541, 'efb277fb-e9a8-41b9-b2f2-0a5601f8d3c6', 'Heryanto Damanik S.Pd', 1, 2, 3, 0, '2020-12-26', '2021-01-09', '2021-01-08', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(539, '156136052', 542, '4a0818b6-3d5e-41ba-80dd-b1962db8f2b3', 'Almira Aryani', 2, 1, 3, 0, '2021-10-20', '2021-11-03', '2021-11-02', '2023-05-29 02:11:01', '2023-05-29 02:11:01'),
(540, '792362114', 543, 'c8b52c7d-ed9a-470b-b9c9-a69703e006d9', 'Asmuni Emas Januar S.Kom', 1, 2, 3, 0, '2020-12-02', '2020-12-16', '2020-12-15', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(541, '404249445', 544, 'd8f5e053-dfba-4538-a4c1-4b942910d316', 'Zalindra Wijayanti', 2, 2, 3, 0, '2022-04-06', '2022-04-20', '2022-04-19', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(542, '783895801', 545, '98341359-a698-4655-9f0b-5f73d54a3db3', 'Waluyo Perkasa Wacana', 2, 1, 3, 0, '2020-08-18', '2020-09-01', '2020-08-31', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(543, '791726869', 546, '18c83b50-f17d-4c74-89e5-7579c3a8aa9d', 'Ika Namaga S.Psi', 1, 2, 3, 0, '2021-02-08', '2021-02-22', '2021-02-21', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(544, '750472718', 547, '50b13ebe-4881-4d0b-81b2-fb88d8d2deea', 'Dacin Situmorang', 1, 1, 3, 0, '2022-12-14', '2022-12-28', '2022-12-27', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(545, '623924897', 548, '2309ee67-e45b-45ab-9938-87699492d237', 'Kairav Irawan', 2, 2, 3, 0, '2020-12-18', '2021-01-01', '2020-12-31', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(546, '238046459', 549, '41acc6b8-c01c-49b7-b129-74a9f9cbe3bc', 'Bahuraksa Widodo', 1, 1, 3, 0, '2021-08-14', '2021-08-28', '2021-08-27', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(547, '896283895', 550, '2015e0d9-254b-474b-8441-61b6d30863ac', 'Jati Marpaung', 1, 2, 3, 0, '2022-05-21', '2022-06-04', '2022-06-03', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(548, '701524157', 551, '1953dcdd-53e8-4183-96e5-d0fbc6c60034', 'Jarwadi Mulya Dabukke', 1, 2, 3, 0, '2022-05-20', '2022-06-03', '2022-06-02', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(549, '531713885', 552, 'fd156df5-e518-4d2b-a6e9-7fb6e054854d', 'Rahmi Hariyah', 2, 2, 3, 0, '2021-03-25', '2021-04-08', '2021-04-07', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(550, '549658933', 553, '5adcab1a-b272-4413-b3d3-e7d6405500c6', 'Reksa Anggriawan M.TI.', 2, 1, 3, 0, '2020-04-24', '2020-05-08', '2020-05-07', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(551, '869459443', 554, 'b02c8cb6-71d0-4bdc-bb6e-14a61f95f6c1', 'Asmuni Laswi Hakim S.Pd', 1, 1, 3, 0, '2021-02-19', '2021-03-05', '2021-03-04', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(552, '814002340', 555, '0528baa9-728c-4d00-8668-6e5111cb4a3d', 'Vera Laksmiwati', 2, 1, 3, 0, '2023-01-22', '2023-02-05', '2023-02-04', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(553, '974800222', 556, '26f86286-e2c9-45dc-bdad-773dd547313d', 'Mala Melani', 2, 1, 3, 0, '2022-06-18', '2022-07-02', '2022-07-01', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(554, '253983747', 557, '4232973f-8b66-45e3-bc60-49d7780afae2', 'Zalindra Andriani', 2, 1, 3, 0, '2020-10-05', '2020-10-19', '2020-10-18', '2023-05-29 02:11:02', '2023-05-29 02:11:02'),
(555, '648335406', 558, 'c8963d67-f1f6-45be-a4b0-6b909caa1921', 'Silvia Syahrini Hasanah', 1, 2, 3, 0, '2022-10-26', '2022-11-09', '2022-11-08', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(556, '753223396', 559, '952f3ecc-d55d-49da-a7b5-64976bb4c40d', 'Dirja Marbun', 2, 1, 3, 0, '2022-06-26', '2022-07-10', '2022-07-09', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(557, '159167450', 560, '2f822a41-c920-4775-aae6-48239159b32f', 'Hadi Halim Prabowo', 1, 1, 3, 0, '2021-08-10', '2021-08-24', '2021-08-23', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(558, '272988779', 561, '5bc8aad0-74fc-482e-b969-b419e4e1fe11', 'Rachel Yuniar', 1, 1, 3, 0, '2022-02-14', '2022-02-28', '2022-02-27', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(559, '310557893', 562, '1c452dd9-9169-4e29-8363-d9c2dfef1277', 'Kasim Wahyudin S.E.I', 2, 2, 3, 0, '2022-11-14', '2022-11-28', '2022-11-27', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(560, '598567337', 563, '0d6a8dae-8538-4c0f-a26a-8257461ec32f', 'Puji Agustina M.Farm', 1, 1, 3, 0, '2021-11-12', '2021-11-26', '2021-11-25', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(561, '808798450', 564, '42569709-bcc5-4521-853f-0a31fdbfed8f', 'Balamantri Megantara S.Gz', 2, 2, 3, 0, '2022-01-15', '2022-01-29', '2022-01-28', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(562, '273014850', 565, '9d95da04-77bf-4365-afcd-f703ae7eeeba', 'Karen Kusmawati', 1, 2, 3, 0, '2023-01-08', '2023-01-22', '2023-01-21', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(563, '733111988', 566, '6f2fd37d-5748-40b6-8dd3-3c0a8d4c540b', 'Prima Putra', 1, 2, 3, 0, '2023-04-20', '2023-05-04', '2023-05-03', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(564, '453969004', 567, 'e39d137a-3c61-47ce-b9a6-d5da9468f2e9', 'Oskar Malik Siregar S.E.I', 1, 1, 3, 0, '2022-10-01', '2022-10-15', '2022-10-14', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(565, '700276829', 568, 'd88abb99-6bea-4bdb-b53a-48b81b6a10df', 'Kamila Wijayanti', 1, 2, 3, 0, '2020-10-08', '2020-10-22', '2020-10-21', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(566, '711540018', 569, 'fab0a09f-ac66-4a2d-bb00-20c2f4c9d2e2', 'Widya Tami Usamah', 2, 2, 3, 0, '2020-03-27', '2020-04-10', '2020-04-09', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(567, '886509432', 570, '90844892-3f50-4705-87e3-66b6fa160d52', 'Farah Melani', 2, 1, 3, 0, '2021-04-17', '2021-05-01', '2021-04-30', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(568, '796931343', 571, 'bb333743-76b3-4ca0-8af4-3e8d2c17ee0e', 'Elisa Azalea Utami', 1, 2, 3, 0, '2022-01-20', '2022-02-03', '2022-02-02', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(569, '531450103', 572, '566616fa-7bdb-421b-938a-ef5cccfe1f44', 'Asirwada Wahyudin S.H.', 2, 1, 3, 0, '2022-05-08', '2022-05-22', '2022-05-21', '2023-05-29 02:11:03', '2023-05-29 02:11:03'),
(570, '628927179', 573, '08e2a24d-d57b-4b61-af0d-d11f665ece5d', 'Jamal Prasetyo S.I.Kom', 1, 1, 3, 0, '2020-09-26', '2020-10-10', '2020-10-09', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(571, '313530905', 574, '8e1a2a6f-5352-49a5-9c3c-80d385be5ac2', 'Elvin Sitorus', 1, 1, 3, 0, '2023-01-16', '2023-01-30', '2023-01-29', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(572, '103624268', 575, '07bf4810-c411-4c93-a1bc-f51ae2327baa', 'Gawati Lestari', 2, 1, 3, 0, '2022-03-23', '2022-04-06', '2022-04-05', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(573, '346252578', 576, '6f42822d-9510-43b7-b2ff-e386e5712612', 'Arsipatra Irnanto Ardianto S.Sos', 2, 2, 3, 0, '2022-06-06', '2022-06-20', '2022-06-19', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(574, '708141140', 577, '09ecde78-2a5b-472f-8725-92a4c316ab87', 'Prayogo Ilyas Ardianto S.Farm', 1, 2, 3, 0, '2020-10-04', '2020-10-18', '2020-10-17', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(575, '887319112', 578, '48b53abe-f476-4969-9790-62803cd16c03', 'Jaga Firmansyah S.Gz', 2, 2, 3, 0, '2021-05-26', '2021-06-09', '2021-06-08', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(576, '540214317', 579, 'a1460a7d-d52a-4547-96f9-beb92befb5ac', 'Cawuk Lega Maulana M.Pd', 1, 2, 3, 0, '2021-10-10', '2021-10-24', '2021-10-23', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(577, '942715569', 580, 'adb1a039-4dc4-4254-8b6d-8c6f08e2973f', 'Salwa Palastri', 2, 1, 3, 0, '2020-07-03', '2020-07-17', '2020-07-16', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(578, '410363480', 581, 'dfc95bf9-709f-4f80-a54b-dc441f324e83', 'Najwa Laksmiwati M.Ak', 2, 2, 3, 0, '2021-02-16', '2021-03-02', '2021-03-01', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(579, '954125272', 582, 'fda0d788-4448-40a3-88e8-d6b27052e7ba', 'Cakrabirawa Gunawan', 1, 2, 3, 0, '2022-08-06', '2022-08-20', '2022-08-19', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(580, '457199689', 583, '235e025c-3f29-4fc3-895a-821cc272d1be', 'Tugiman Sihombing', 1, 2, 3, 0, '2020-07-17', '2020-07-31', '2020-07-30', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(581, '953084096', 584, '883989db-fb82-4ad2-acac-09de97e5ebff', 'Atma Budiyanto', 1, 1, 3, 0, '2022-08-01', '2022-08-15', '2022-08-14', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(582, '344946338', 585, '1c1ab400-88c0-4fb5-8231-d5fee3cbb51b', 'Gadang Dabukke', 2, 2, 3, 0, '2022-12-06', '2022-12-20', '2022-12-19', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(583, '351964211', 586, 'e3d92634-ae1f-4b51-a898-c8193f34bd26', 'Irwan Prabawa Pradipta S.Ked', 1, 1, 3, 0, '2022-10-10', '2022-10-24', '2022-10-23', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(584, '839994660', 587, 'f2f6381d-3966-4896-b414-9ee585e76a20', 'Hani Devi Usada', 2, 2, 3, 0, '2020-11-02', '2020-11-16', '2020-11-15', '2023-05-29 02:11:04', '2023-05-29 02:11:04'),
(585, '150036711', 588, 'c7fec239-7aad-4894-9973-29a9bc58bd84', 'Cecep Mangunsong', 2, 2, 3, 0, '2020-03-13', '2020-03-27', '2020-03-26', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(586, '303265292', 589, '515e65f3-5bed-4cbd-9569-d8508a2d80c0', 'Gandewa Prasetyo', 2, 2, 3, 0, '2021-01-10', '2021-01-24', '2021-01-23', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(587, '892035060', 590, '7ebebdb3-4235-430a-bcdf-8917bb99a570', 'Janet Puspita', 1, 1, 3, 0, '2022-10-11', '2022-10-25', '2022-10-24', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(588, '324159497', 591, '7f78b0a0-56ad-40f8-a0c6-f81124410153', 'Sarah Mutia Susanti', 1, 2, 3, 0, '2022-03-05', '2022-03-19', '2022-03-18', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(589, '662964100', 592, '61604bed-74c2-4ee3-9b80-5b03f7a84951', 'Nilam Novitasari', 2, 1, 3, 0, '2020-08-08', '2020-08-22', '2020-08-21', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(590, '454738609', 593, '2355a7c9-87d0-4a5c-a619-fc008b713152', 'Wulan Diana Laksmiwati S.E.', 2, 1, 3, 0, '2020-07-16', '2020-07-30', '2020-07-29', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(591, '593541828', 594, 'baba4b60-549a-419d-909c-bbfb77175f20', 'Salimah Ciaobella Usada S.H.', 2, 1, 3, 0, '2020-07-23', '2020-08-06', '2020-08-05', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(592, '309254747', 595, 'a8f4b334-d322-4ac3-9265-922057ee3727', 'Lintang Haryanti', 2, 2, 3, 0, '2020-09-18', '2020-10-02', '2020-10-01', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(593, '893326134', 596, 'd80f6b45-8eae-4c89-a5c2-1dab232a6c8e', 'Ana Haryanti', 1, 2, 3, 0, '2021-02-27', '2021-03-13', '2021-03-12', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(594, '141209547', 597, '72c163fc-362f-406f-afa2-61d9a52219f1', 'Unjani Utami', 1, 1, 3, 0, '2022-11-28', '2022-12-12', '2022-12-11', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(595, '894071225', 598, '9a073018-6f7e-4f67-8052-3835afa87101', 'Yahya Kuswoyo', 1, 2, 3, 0, '2022-04-01', '2022-04-15', '2022-04-14', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(596, '840185406', 599, '63ee0408-bfb8-4e87-b803-cb9ed4cddc3e', 'Kania Fitriani Laksmiwati S.Psi', 1, 2, 3, 0, '2021-05-04', '2021-05-18', '2021-05-17', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(597, '743741863', 600, 'c8c6940e-fab0-42de-a0dd-7115433e5908', 'Novi Handayani', 2, 1, 3, 0, '2020-07-30', '2020-08-13', '2020-08-12', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(598, '719669233', 601, '51ac2a82-37ee-4286-b05c-284a3c41a075', 'Imam Permadi', 2, 1, 3, 0, '2023-05-02', '2023-05-16', '2023-05-15', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(599, '486043050', 602, '14a4430e-bc41-4ad9-8b30-19406980230c', 'Queen Pertiwi', 2, 1, 3, 0, '2021-03-20', '2021-04-03', '2021-04-02', '2023-05-29 02:11:05', '2023-05-29 02:11:05'),
(600, '384099695', 603, '6937cc5a-a904-46ae-b2c9-479072643119', 'Kala Mahesa Lazuardi', 1, 1, 3, 0, '2020-03-11', '2020-03-25', '2020-03-24', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(601, '829636800', 604, 'c7f864eb-a38e-4399-a483-897e5ca69d11', 'Lili Suryatmi M.Farm', 1, 1, 3, 0, '2021-08-24', '2021-09-07', '2021-09-06', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(602, '995442051', 605, '08350585-42eb-4927-9de4-63a4743293e8', 'Kadir Ramadan', 1, 1, 3, 0, '2020-12-26', '2021-01-09', '2021-01-08', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(603, '451025934', 606, '22e30ab3-ac3d-4efe-8934-184da5856bab', 'Unggul Utama S.E.', 1, 2, 3, 0, '2023-05-04', '2023-05-18', '2023-05-17', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(604, '293617160', 607, 'd0c6462f-0bc7-4dc8-ac7b-8da1d3499a80', 'Kawaca Halim', 2, 2, 3, 0, '2020-05-22', '2020-06-05', '2020-06-04', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(605, '874463110', 608, '109f4ac6-ff4e-417f-9d75-f39fdfb5eb07', 'Wawan Wijaya', 1, 2, 3, 0, '2020-05-20', '2020-06-03', '2020-06-02', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(606, '950926528', 609, 'fa58e3fc-8f4d-476c-9c78-e69f1dcd874d', 'Zizi Hani Yuliarti', 2, 1, 3, 0, '2022-10-02', '2022-10-16', '2022-10-15', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(607, '520090763', 610, 'ca080367-7f22-468f-8b7f-cfd8f5740c80', 'Edward Wijaya S.I.Kom', 1, 1, 3, 0, '2020-05-04', '2020-05-18', '2020-05-17', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(608, '847291637', 611, '187097a8-83b0-4ed5-8281-38e5c018318e', 'Gabriella Yuniar', 2, 1, 3, 0, '2022-10-01', '2022-10-15', '2022-10-14', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(609, '383393487', 612, 'f86e0ff9-b321-4f38-880e-6abedb86ce68', 'Bahuwirya Manullang', 2, 2, 3, 0, '2021-11-27', '2021-12-11', '2021-12-10', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(610, '601843781', 613, '0fedc856-dc7e-43f4-8903-6b6d51a3381e', 'Lanjar Martaka Firgantoro M.Kom.', 1, 1, 3, 0, '2023-02-22', '2023-03-08', '2023-03-07', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(611, '708020686', 614, 'b112c521-18be-4117-b4be-c98e2094e756', 'Hamima Winda Laksita', 2, 1, 3, 0, '2022-03-31', '2022-04-14', '2022-04-13', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(612, '325537584', 615, '90959d24-6862-4617-8b0b-e9e211e24ed7', 'Olivia Prastuti', 2, 2, 3, 0, '2020-12-02', '2020-12-16', '2020-12-15', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(613, '350378471', 616, 'fdc8fb00-3700-42e7-b859-f20319a4dd2e', 'Raina Ani Andriani S.Pd', 2, 1, 3, 0, '2022-11-26', '2022-12-10', '2022-12-09', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(614, '502348581', 617, 'c3e40bbb-eb2f-4316-926e-38ae9bfaa58c', 'Halim Erik Hakim', 2, 1, 3, 0, '2021-10-16', '2021-10-30', '2021-10-29', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(615, '582403182', 618, '0d38803d-3a08-424a-884c-198de5ad5de6', 'Laksana Winarno', 2, 2, 3, 0, '2021-12-13', '2021-12-27', '2021-12-26', '2023-05-29 02:11:06', '2023-05-29 02:11:06'),
(616, '173584125', 619, '71d3657d-4cdf-404d-bfe3-09468b25fee0', 'Ulva Gina Puspita S.Psi', 2, 2, 3, 0, '2022-07-20', '2022-08-03', '2022-08-02', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(617, '518626816', 620, '6ea406cb-922c-40d3-bba0-1f0e5a13e33f', 'Hardana Aditya Pratama', 2, 1, 3, 0, '2020-06-05', '2020-06-19', '2020-06-18', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(618, '187201944', 621, '6182d3d4-89bf-494e-8ac2-9a89d0e4f5c4', 'Heryanto Daryani Prasetyo', 1, 2, 3, 0, '2022-08-21', '2022-09-04', '2022-09-03', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(619, '626194444', 622, 'b668db38-11c5-4222-b503-89602d2d71cc', 'Salimah Maya Namaga S.Farm', 1, 1, 3, 0, '2021-05-30', '2021-06-13', '2021-06-12', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(620, '168910313', 623, '6e9e7588-49eb-463f-b15a-3aba727b77e6', 'Aditya Wage Dongoran S.IP', 1, 1, 3, 0, '2020-07-12', '2020-07-26', '2020-07-25', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(621, '574007359', 624, '75211f46-010c-44f5-917c-1994982607c5', 'Shania Pertiwi', 1, 2, 3, 0, '2021-06-07', '2021-06-21', '2021-06-20', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(622, '831495240', 625, '7e6e6bf2-ebaf-4e16-8160-78b7b67939d9', 'Sabrina Pertiwi', 1, 1, 3, 0, '2020-04-01', '2020-04-15', '2020-04-14', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(623, '997189331', 626, '82a124a9-014d-405d-b8be-d2be97d1e582', 'Safina Aryani', 1, 2, 3, 0, '2021-12-11', '2021-12-25', '2021-12-24', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(624, '672481469', 627, '2f064b0b-4547-4ccd-abc8-7734e61adf19', 'Clara Zulaika', 1, 1, 3, 0, '2022-10-04', '2022-10-18', '2022-10-17', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(625, '573121252', 628, 'eaa9d04b-02a2-4921-9917-90ac400e2db7', 'Tiara Zaenab Hariyah', 1, 1, 3, 0, '2022-04-16', '2022-04-30', '2022-04-29', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(626, '992009555', 629, '2ccaf380-e5b9-4ccb-8f1d-9c1ddedbaed3', 'Baktiadi Natsir', 2, 1, 3, 0, '2022-04-23', '2022-05-07', '2022-05-06', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(627, '363066461', 630, '67950574-aab8-4f28-ba89-87c552ec39c7', 'Jane Palastri', 2, 1, 3, 0, '2021-04-20', '2021-05-04', '2021-05-03', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(628, '284934155', 631, '363af07b-1b87-4fee-be90-ca2530d452f9', 'Jefri Iswahyudi S.E.I', 1, 1, 3, 0, '2020-08-28', '2020-09-11', '2020-09-10', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(629, '650681427', 632, '8bedc079-5e29-45de-94ca-5b2b62253744', 'Caraka Pranowo', 2, 1, 3, 0, '2022-04-23', '2022-05-07', '2022-05-06', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(630, '486589261', 633, 'fff11de5-edce-47c0-baba-855494be0f5f', 'Genta Rahmawati', 2, 1, 3, 0, '2023-04-01', '2023-04-15', '2023-04-14', '2023-05-29 02:11:07', '2023-05-29 02:11:07'),
(631, '718286863', 634, '93faad32-3deb-48cd-bf56-9c4fb42272e3', 'Endah Rahayu S.T.', 1, 1, 3, 0, '2021-12-26', '2022-01-09', '2022-01-08', '2023-05-29 02:11:08', '2023-05-29 02:11:08'),
(632, '418229588', 635, 'af07632f-7dc1-4e10-abb5-94ca467c42e1', 'Azalea Nasyiah', 2, 2, 3, 0, '2020-10-20', '2020-11-03', '2020-11-02', '2023-05-29 02:11:08', '2023-05-29 02:11:08'),
(633, '404148769', 636, '68f81034-8c70-447d-bc25-23d908e8d2e2', 'Galur Harjasa Saragih S.Pt', 1, 1, 3, 0, '2022-05-16', '2022-05-30', '2022-05-29', '2023-05-29 02:11:08', '2023-05-29 02:11:08'),
(634, '985363940', 637, 'a1cd2098-fba7-47db-88ef-af85f2988ab7', 'Candrakanta Mulyono Suwarno M.M.', 1, 1, 3, 0, '2022-12-11', '2022-12-25', '2022-12-24', '2023-05-29 02:11:08', '2023-05-29 02:11:08'),
(635, '901284449', 638, 'd952f49e-e6bd-489e-900f-483292645469', 'Titin Agustina', 1, 1, 3, 0, '2021-03-08', '2021-03-22', '2021-03-21', '2023-05-29 02:11:08', '2023-05-29 02:11:08'),
(636, '791103518', 639, 'e0439a1a-08f2-4f71-aa2b-e643ac1a782f', 'Gamanto Anggabaya Prasasta S.H.', 2, 1, 3, 0, '2021-11-27', '2021-12-11', '2021-12-10', '2023-05-29 02:11:08', '2023-05-29 02:11:08'),
